ibge7,ibge6,municipio,uf,regiao,ano_populacao,populacao,ubs,hospitais,centros_cirurgicos,centros_obstetricos,ubs_por_10k,hospitais_por_100k,centros_cirurgicos_por_100k,centros_obstetricos_por_100k,indice_lacuna,prioridade_exploratoria
3538105,353810,Pindorama,SP,Sudeste,2025,14704,4,0,0,0,2.72,0.0,0.0,0.0,83.62,Muito alta
3538204,353820,Pinhalzinho,SP,Sudeste,2025,15676,0,0,0,0,0.0,0.0,0.0,0.0,99.98,Muito alta
3538303,353830,Piquerobi,SP,Sudeste,2025,3287,2,0,0,0,6.08,0.0,0.0,0.0,45.72,Moderada
3538501,353850,Piquete,SP,Sudeste,2025,12516,5,0,0,0,3.99,0.0,0.0,0.0,68.12,Alta
3538600,353860,Piracaia,SP,Sudeste,2025,26795,3,0,0,0,1.12,0.0,0.0,0.0,96.42,Muito alta
3538709,353870,Piracicaba,SP,Sudeste,2025,440835,85,7,5,1,1.93,1.59,1.13,0.23,73.29,Alta
3538808,353880,Piraju,SP,Sudeste,2025,30294,10,0,0,0,3.3,0.0,0.0,0.0,77.01,Muito alta
3538907,353890,Pirajuí,SP,Sudeste,2025,22734,10,1,0,0,4.4,4.4,0.0,0.0,39.68,Moderada
3539004,353900,Pirangi,SP,Sudeste,2025,11085,3,0,0,0,2.71,0.0,0.0,0.0,83.81,Muito alta
3539103,353910,Pirapora do Bom Jesus,SP,Sudeste,2025,18925,4,0,0,0,2.11,0.0,0.0,0.0,89.88,Muito alta
3539202,353920,Pirapozinho,SP,Sudeste,2025,26097,9,0,0,0,3.45,0.0,0.0,0.0,75.27,Muito alta
3539301,353930,Pirassununga,SP,Sudeste,2025,75594,19,4,3,1,2.51,5.29,3.97,1.32,60.84,Alta
3539400,353940,Piratininga,SP,Sudeste,2025,15657,1,1,1,0,0.64,6.39,6.39,0.0,71.42,Alta
3539509,353950,Pitangueiras,SP,Sudeste,2025,34361,9,0,0,0,2.62,0.0,0.0,0.0,84.88,Muito alta
3539608,353960,Planalto,SP,Sudeste,2025,4451,2,0,0,0,4.49,0.0,0.0,0.0,61.85,Alta
3539707,353970,Platina,SP,Sudeste,2025,3055,1,0,0,0,3.27,0.0,0.0,0.0,77.25,Muito alta
3539905,353990,Poloni,SP,Sudeste,2025,5702,1,0,0,0,1.75,0.0,0.0,0.0,92.6,Muito alta
3540002,354000,Pompéia,SP,Sudeste,2025,20520,10,0,0,0,4.87,0.0,0.0,0.0,57.0,Alta
3540101,354010,Pongaí,SP,Sudeste,2025,3440,0,0,0,0,0.0,0.0,0.0,0.0,99.98,Muito alta
